service_id,date,exception_type
1024,20140118,1
1024,20140119,1
1024,20140120,1
1024,20140121,1
1024,20140122,1
1024,20140123,1
1024,20140125,1
1024,20140126,1
1024,20140127,1
1024,20140128,1
1024,20140129,1
1024,20140130,1
1024,20140201,1
1024,20140202,1
1024,20140203,1
1024,20140204,1
1024,20140205,1
1024,20140206,1
1024,20140208,1
1024,20140209,1
1024,20140210,1
1024,20140211,1
1024,20140212,1
1024,20140213,1
1024,20140215,1
1024,20140216,1
1024,20140217,1
1024,20140218,1
1024,20140219,1
1024,20140220,1
1024,20140222,1
1024,20140223,1
1024,20140224,1
1024,20140225,1
1024,20140226,1
1024,20140227,1
1024,20140301,1
1024,20140302,1
1024,20140303,1
1024,20140304,1
1024,20140305,1
1024,20140306,1
1024,20140308,1
1024,20140309,1
1024,20140310,1
1024,20140311,1
1024,20140312,1
1024,20140313,1
1024,20140315,1
1024,20140316,1
1024,20140317,1
1024,20140318,1
1024,20140319,1
1024,20140320,1
1024,20140322,1
1024,20140323,1
1024,20140324,1
1024,20140325,1
1024,20140326,1
1024,20140327,1
1024,20140329,1
1024,20140330,1
1024,20140331,1
1024,20140401,1
1024,20140402,1
1024,20140403,1
1024,20140405,1
1024,20140406,1
1024,20140407,1
1024,20140408,1
1024,20140409,1
1024,20140410,1
1024,20140412,1
1024,20140413,1
1024,20140414,1
1024,20140415,1
1024,20140416,1
1024,20140418,1
1024,20140419,1
1024,20140420,1
1024,20140421,1
1024,20140422,1
1024,20140423,1
1024,20140424,1
1024,20140426,1
1024,20140427,1
1024,20140428,1
1024,20140429,1
1024,20140501,1
1024,20140502,1
1024,20140503,1
1024,20140504,1
1024,20140505,1
1024,20140506,1
1024,20140507,1
1024,20140508,1
1024,20140510,1
1024,20140511,1
1024,20140512,1
1024,20140513,1
1024,20140514,1
1024,20140515,1
1024,20140517,1
1024,20140518,1
1024,20140519,1
1024,20140520,1
1024,20140521,1
1024,20140522,1
1024,20140524,1
1024,20140525,1
1024,20140526,1
1024,20140527,1
1024,20140529,1
1024,20140530,1
1024,20140531,1
1024,20140601,1
1024,20140602,1
1024,20140603,1
1024,20140604,1
1024,20140605,1
1024,20140607,1
1024,20140608,1
1024,20140609,1
1024,20140610,1
1024,20140611,1
1024,20140612,1
1024,20140614,1
1024,20140615,1
1024,20140616,1
1024,20140617,1
1024,20140619,1
1024,20140620,1
1024,20140621,1
1024,20140622,1
1024,20140623,1
1024,20140624,1
1024,20140625,1
1024,20140626,1
1024,20140628,1
1024,20140629,1
1024,20140630,1
1024,20140701,1
1024,20140702,1
1024,20140703,1
1024,20140705,1
1024,20140706,1
1024,20140707,1
1024,20140708,1
1024,20140709,1
1024,20140710,1
1024,20140712,1
1024,20140713,1
1024,20140714,1
1024,20140715,1
1024,20140716,1
1024,20140717,1
1024,20140719,1
1024,20140720,1
1024,20140721,1
1024,20140722,1
1024,20140723,1
1024,20140724,1
1024,20140726,1
1024,20140727,1
1024,20140728,1
1024,20140729,1
1024,20140730,1
1024,20140731,1
1024,20140802,1
1024,20140803,1
1024,20140804,1
1024,20140805,1
1024,20140806,1
1024,20140807,1
1024,20140809,1
1024,20140810,1
1024,20140811,1
1024,20140812,1
1024,20140813,1
1024,20140815,1
1024,20140816,1
1024,20140817,1
1024,20140818,1
1024,20140819,1
1024,20140820,1
1024,20140821,1
1024,20140823,1
1024,20140824,1
1024,20140825,1
1024,20140826,1
1024,20140827,1
1024,20140828,1
1024,20140830,1
1024,20140831,1
1024,20140901,1
1024,20140902,1
1024,20140903,1
1024,20140904,1
1024,20140906,1
1024,20140907,1
1024,20140908,1
1024,20140909,1
1024,20140910,1
1024,20140911,1
